Edge,p_kl_pu,p_lk_pu,q_kl_pu,q_lk_pu
"(1,2)",-0.098289,0.09838,0.002279,-0.001835
"(1,11)",-0.001711,0.001711,-0.002279,0.00228
"(2,3)",0.069217,-0.069178,-0.000913,0.001182
"(2,11)",0.082403,-0.082343,0.000105,0.000265
"(3,4)",0.110398,-0.110233,0.002985,-0.00201
"(3,9)",0.02878,-0.028773,-0.002348,0.002388
"(4,5)",-0.039767,0.039787,0.003157,-0.003017
"(5,6)",0.059336,-0.059298,-0.001538,0.001809
"(5,8)",0.021575,-0.021568,0.005188,-0.005138
"(6,7)",-0.050702,0.050716,-0.001809,0.001987
"(7,8)",0.010507,-0.010505,0.00524,-0.005225
"(7,9)",-0.061223,0.061279,-0.006264,0.006577
"(8,9)",-0.057927,0.058114,0.010362,-0.010035
"(9,10)",0.00938,-0.009379,0.002609,-0.002603
"(10,11)",-0.040621,0.040632,0.002603,-0.002545
